## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2160e-01   1.2526e-01  -2.0834e+00   2.6264e-04   1.5850e-04   1.2769e-05   1.3777e-05   4.3777e-05   4.2898e-05   8.1345e+07   1.1734e+07
  1.7982e-01   1.8519e-01  -1.6922e+00   1.4324e-04  -2.3232e-05   6.8039e-06  -4.6910e-05   2.9764e-05   3.1648e-05   1.7072e+08   2.4651e+07
  2.6591e-01   2.7396e-01  -1.3004e+00   1.5690e-04   1.7453e-05   2.1556e-06  -1.1484e-05   1.9040e-05   2.0351e-05   3.6047e+08   5.2138e+07
  3.9322e-01   4.0534e-01  -9.0854e-01   8.9655e-05   2.0143e-05  -9.6514e-06   1.2986e-05   1.4094e-05   1.3729e-05   7.6662e+08   1.1097e+08
  5.8148e-01   5.9962e-01  -5.1691e-01   9.1240e-05   1.6316e-05  -7.3795e-07   1.3740e-05   1.0738e-05   9.3743e-06   1.6300e+09   2.3618e+08
  8.5987e-01   8.8697e-01  -1.2540e-01   7.9245e-05   1.6183e-05  -1.0361e-05   1.9209e-06   6.6157e-06   6.4499e-06   3.4560e+09   5.0136e+08
  1.2715e+00   1.3117e+00   2.6588e-01   6.4702e-05   1.0350e-05  -3.7699e-06   7.8006e-06   4.2974e-06   3.7140e-06   7.3161e+09   1.0623e+09
  1.8803e+00   1.9400e+00   6.5723e-01   5.0480e-05   6.5422e-06   4.4086e-06  -3.3703e-06   2.9740e-06   2.8046e-06   1.5446e+10   2.2446e+09
  2.7805e+00   2.8687e+00   1.0484e+00   3.2799e-05   9.4659e-06   1.0420e-06   2.4499e-06   2.2853e-06   2.0704e-06   3.2549e+10   4.7335e+09
  4.1117e+00   4.2413e+00   1.4394e+00   2.1952e-05   7.4883e-06   2.9125e-07   1.5414e-07   1.5495e-06   1.5156e-06   6.7997e+10   9.8945e+09
  6.0802e+00   6.2735e+00   1.8308e+00   1.4938e-05   6.7580e-06  -8.4343e-08  -7.4735e-07   1.1024e-06   9.7198e-07   1.4132e+11   2.0574e+10
  8.9912e+00   9.2866e+00   2.2231e+00   1.1449e-05   3.5702e-06  -1.7688e-07  -1.5356e-07   8.5759e-07   7.5056e-07   3.0140e+11   4.3894e+10
  1.3296e+01   1.3733e+01   2.6143e+00   7.9661e-06   3.5522e-06  -2.6731e-07   3.0619e-07   6.0309e-07   5.1165e-07   6.4938e+11   9.4587e+10
  1.9661e+01   2.0308e+01   3.0055e+00   5.4326e-06   3.1091e-06  -2.5065e-07   5.3164e-07   4.5867e-07   3.9165e-07   1.4008e+12   2.0407e+11
  2.9074e+01   3.0026e+01   3.3965e+00   4.0183e-06   2.2481e-06   7.1443e-08  -2.5308e-07   3.8829e-07   2.2367e-07   3.0079e+12   4.3829e+11
  4.2994e+01   4.4394e+01   3.7875e+00   2.7127e-06   1.3629e-06   1.0053e-07  -1.4430e-07   2.7762e-07   2.1046e-07   6.4419e+12   9.3882e+11
  6.3577e+01   6.5624e+01   4.1783e+00   1.9556e-06   1.1134e-06   2.1916e-08   1.0400e-07   2.5403e-07   1.5727e-07   1.3691e+13   1.9954e+12
  9.4015e+01   9.7009e+01   4.5692e+00   1.3320e-06   7.8414e-07   1.7318e-07  -1.4531e-07   2.2239e-07   1.2318e-07   2.8792e+13   4.1964e+12
  1.3903e+02   1.4340e+02   4.9600e+00   9.9330e-07   6.7751e-07   1.1912e-07   7.1541e-09   2.0248e-07   9.9128e-08   5.9817e+13   8.7185e+12
  2.0559e+02   2.1196e+02   5.3508e+00   4.5748e-07   4.9223e-07   1.8659e-07  -3.8844e-08   1.7508e-07   9.5808e-08   1.2227e+14   1.7818e+13
